X,Y
589,608
590,608
591,609
591,612
590,613
589,613
589,615
590,615
591,616
591,620
590,621
590,625
589,626
589,629
588,630
588,638
587,639
587,645
593,645
593,642
592,642
591,641
591,638
592,637
594,637
594,635
593,635
592,634
592,623
593,622
593,618
595,616
597,616
598,617
598,619
597,620
597,629
599,629
600,630
600,631
601,631
602,632
602,634
601,635
600,635
600,640
602,640
603,641
603,645
602,646
602,650
603,651
606,651
607,652
607,655
606,656
601,656
601,659
599,661
597,661
596,660
596,654
593,654
593,660
592,661
591,661
591,668
592,669
592,672
591,673
591,675
593,675
595,673
595,668
596,667
596,664
597,663
602,663
602,661
603,660
605,660
606,661
606,677
610,677
611,678
611,683
612,683
613,684
613,686
612,687
611,687
611,690
613,690
614,691
614,695
613,696
613,703
616,703
617,704
617,706
616,707
613,707
613,708
612,709
612,711
613,712
613,714
612,715
610,715
609,714
609,712
607,710
607,705
609,703
609,696
608,695
608,689
607,688
607,686
608,685
609,685
609,683
608,683
606,681
606,679
603,679
602,678
602,675
600,675
600,678
601,678
602,679
602,686
600,688
600,690
605,690
606,691
606,693
605,694
604,694
603,695
602,695
601,696
599,696
598,695
598,689
597,689
596,688
594,688
594,690
595,691
595,694
594,695
593,695
593,700
596,700
597,701
597,702
598,703
598,710
602,710
603,711
604,711
605,712
605,715
604,716
604,718
605,719
607,719
608,720
608,722
607,723
607,728
608,729
608,737
609,738
609,743
610,744
610,748
611,749
611,751
610,752
610,755
611,755
612,756
612,768
611,769
611,777
610,778
610,781
609,782
607,782
606,781
604,781
601,784
601,788
599,790
597,790
597,794
596,795
594,795
593,794
589,794
588,793
588,791
589,790
590,790
590,785
591,784
591,779
592,778
592,776
591,775
591,774
586,774
585,775
583,775
583,776
582,777
582,780
581,781
580,781
580,786
581,787
581,796
582,797
582,798
583,798
584,799
584,805
585,806
585,809
584,810
583,810
583,813
584,814
584,819
586,819
586,815
587,814
587,813
588,812
590,812
590,811
591,810
592,810
593,809
593,807
592,806
592,804
593,803
595,803
596,804
596,807
597,807
598,808
601,808
602,807
603,807
604,806
606,806
607,807
607,812
608,813
613,813
614,812
615,812
615,806
616,805
617,805
617,802
618,801
618,797
619,796
619,792
